Strategy A,n = 1000

Trial 1

Space Name,Times Landed On,Percent Landed On (%)
GO,22,2.033271719038817
MEDITERRANEAN_AVENUE,26,2.4029574861367835
COMMUNITY_CHEST_1,20,1.8484288354898337
BALTIC_AVENUE,17,1.5711645101663587
INCOME_TAX,24,2.2181146025878005
READING_RAILROAD,33,3.0499075785582255
ORIENTAL_AVENUE,19,1.756007393715342
CHANCE_1,20,1.8484288354898337
VERMONT_AVENUE,19,1.756007393715342
CONNECTICUT_AVENUE,19,1.756007393715342
JAIL,73,6.7467652495378925
ST_CHARLES_PLACE,33,3.0499075785582255
ELECTRIC_COMPANY,28,2.5878003696857674
STATES_AVENUE,23,2.1256931608133085
VIRGINIA_AVENUE,29,2.6802218114602585
PENNSYLVANIA_RAILROAD,20,1.8484288354898337
ST_JAMES_PLACE,25,2.310536044362292
COMMUNITY_CHEST_2,21,1.9408502772643252
TENNESSEE_AVENUE,31,2.865064695009242
NEW_YORK_AVENUE,36,3.3271719038817005
FREE_PARKING,31,2.865064695009242
KENTUCKY_AVENUE,27,2.4953789279112755
CHANCE_2,37,3.4195933456561924
INDIANA_AVENUE,36,3.3271719038817005
ILLINOIS_AVENUE,24,2.2181146025878005
BO_RAILROAD,24,2.2181146025878005
ATLANTIC_AVENUE,28,2.5878003696857674
VENTNOR_AVENUE,20,1.8484288354898337
WATER_WORKS,27,2.4953789279112755
MARVIN_GARDENS,26,2.4029574861367835
GO_TO_JAIL,29,2.6802218114602585
PACIFIC_AVENUE,35,3.234750462107209
NORTH_CAROLINA_AVENUE,28,2.5878003696857674
COMMUNITY_CHEST_3,18,1.6635859519408502
PENNSYLVANIA_AVENUE,28,2.5878003696857674
SHORT_LINE,23,2.1256931608133085
CHANCE_3,19,1.756007393715342
PARK_PLACE,29,2.6802218114602585
LUXURY_TAX,23,2.1256931608133085
BOARDWALK,32,2.957486136783734

Trial 2

Space Name,Times Landed On,Percent Landed On (%)
GO,27,2.5186567164179103
MEDITERRANEAN_AVENUE,15,1.3992537313432836
COMMUNITY_CHEST_1,29,2.7052238805970146
BALTIC_AVENUE,17,1.585820895522388
INCOME_TAX,25,2.332089552238806
READING_RAILROAD,30,2.798507462686567
ORIENTAL_AVENUE,21,1.9589552238805972
CHANCE_1,20,1.8656716417910446
VERMONT_AVENUE,20,1.8656716417910446
CONNECTICUT_AVENUE,18,1.6791044776119404
JAIL,63,5.8768656716417915
ST_CHARLES_PLACE,32,2.9850746268656714
ELECTRIC_COMPANY,20,1.8656716417910446
STATES_AVENUE,23,2.1455223880597014
VIRGINIA_AVENUE,30,2.798507462686567
PENNSYLVANIA_RAILROAD,25,2.332089552238806
ST_JAMES_PLACE,22,2.0522388059701493
COMMUNITY_CHEST_2,37,3.451492537313433
TENNESSEE_AVENUE,29,2.7052238805970146
NEW_YORK_AVENUE,24,2.2388059701492535
FREE_PARKING,33,3.078358208955224
KENTUCKY_AVENUE,26,2.425373134328358
CHANCE_2,30,2.798507462686567
INDIANA_AVENUE,25,2.332089552238806
ILLINOIS_AVENUE,39,3.6380597014925375
BO_RAILROAD,24,2.2388059701492535
ATLANTIC_AVENUE,24,2.2388059701492535
VENTNOR_AVENUE,37,3.451492537313433
WATER_WORKS,24,2.2388059701492535
MARVIN_GARDENS,23,2.1455223880597014
GO_TO_JAIL,22,2.0522388059701493
PACIFIC_AVENUE,31,2.8917910447761193
NORTH_CAROLINA_AVENUE,26,2.425373134328358
COMMUNITY_CHEST_3,31,2.8917910447761193
PENNSYLVANIA_AVENUE,22,2.0522388059701493
SHORT_LINE,18,1.6791044776119404
CHANCE_3,25,2.332089552238806
PARK_PLACE,30,2.798507462686567
LUXURY_TAX,25,2.332089552238806
BOARDWALK,30,2.798507462686567

Trial 3

Space Name,Times Landed On,Percent Landed On (%)
GO,23,2.137546468401487
MEDITERRANEAN_AVENUE,27,2.509293680297398
COMMUNITY_CHEST_1,24,2.2304832713754648
BALTIC_AVENUE,19,1.7657992565055762
INCOME_TAX,26,2.41635687732342
READING_RAILROAD,29,2.6951672862453533
ORIENTAL_AVENUE,25,2.323420074349442
CHANCE_1,16,1.486988847583643
VERMONT_AVENUE,25,2.323420074349442
CONNECTICUT_AVENUE,26,2.41635687732342
JAIL,69,6.412639405204461
ST_CHARLES_PLACE,23,2.137546468401487
ELECTRIC_COMPANY,22,2.0446096654275094
STATES_AVENUE,21,1.9516728624535316
VIRGINIA_AVENUE,24,2.2304832713754648
PENNSYLVANIA_RAILROAD,32,2.973977695167286
ST_JAMES_PLACE,32,2.973977695167286
COMMUNITY_CHEST_2,39,3.62453531598513
TENNESSEE_AVENUE,21,1.9516728624535316
NEW_YORK_AVENUE,34,3.1598513011152414
FREE_PARKING,26,2.41635687732342
KENTUCKY_AVENUE,26,2.41635687732342
CHANCE_2,33,3.066914498141264
INDIANA_AVENUE,18,1.6728624535315983
ILLINOIS_AVENUE,34,3.1598513011152414
BO_RAILROAD,31,2.8810408921933086
ATLANTIC_AVENUE,31,2.8810408921933086
VENTNOR_AVENUE,25,2.323420074349442
WATER_WORKS,30,2.7881040892193307
MARVIN_GARDENS,23,2.137546468401487
GO_TO_JAIL,28,2.6022304832713754
PACIFIC_AVENUE,28,2.6022304832713754
NORTH_CAROLINA_AVENUE,24,2.2304832713754648
COMMUNITY_CHEST_3,22,2.0446096654275094
PENNSYLVANIA_AVENUE,25,2.323420074349442
SHORT_LINE,25,2.323420074349442
CHANCE_3,29,2.6951672862453533
PARK_PLACE,18,1.6728624535315983
LUXURY_TAX,21,1.9516728624535316
BOARDWALK,22,2.0446096654275094

Trial 4

Space Name,Times Landed On,Percent Landed On (%)
GO,24,2.2408963585434174
MEDITERRANEAN_AVENUE,25,2.3342670401493932
COMMUNITY_CHEST_1,15,1.400560224089636
BALTIC_AVENUE,19,1.7740429505135387
INCOME_TAX,26,2.427637721755369
READING_RAILROAD,30,2.801120448179272
ORIENTAL_AVENUE,20,1.8674136321195145
CHANCE_1,20,1.8674136321195145
VERMONT_AVENUE,25,2.3342670401493932
CONNECTICUT_AVENUE,23,2.1475256769374416
JAIL,71,6.629318394024277
ST_CHARLES_PLACE,23,2.1475256769374416
ELECTRIC_COMPANY,21,1.9607843137254901
STATES_AVENUE,31,2.8944911297852474
VIRGINIA_AVENUE,19,1.7740429505135387
PENNSYLVANIA_RAILROAD,36,3.361344537815126
ST_JAMES_PLACE,26,2.427637721755369
COMMUNITY_CHEST_2,24,2.2408963585434174
TENNESSEE_AVENUE,33,3.081232492997199
NEW_YORK_AVENUE,27,2.5210084033613445
FREE_PARKING,31,2.8944911297852474
KENTUCKY_AVENUE,29,2.707749766573296
CHANCE_2,24,2.2408963585434174
INDIANA_AVENUE,37,3.454715219421102
ILLINOIS_AVENUE,28,2.6143790849673203
BO_RAILROAD,35,3.2679738562091507
ATLANTIC_AVENUE,28,2.6143790849673203
VENTNOR_AVENUE,28,2.6143790849673203
WATER_WORKS,26,2.427637721755369
MARVIN_GARDENS,21,1.9607843137254901
GO_TO_JAIL,29,2.707749766573296
PACIFIC_AVENUE,27,2.5210084033613445
NORTH_CAROLINA_AVENUE,24,2.2408963585434174
COMMUNITY_CHEST_3,22,2.0541549953314657
PENNSYLVANIA_AVENUE,32,2.987861811391223
SHORT_LINE,21,1.9607843137254901
CHANCE_3,20,1.8674136321195145
PARK_PLACE,18,1.680672268907563
LUXURY_TAX,26,2.427637721755369
BOARDWALK,27,2.5210084033613445

Trial 5

Space Name,Times Landed On,Percent Landed On (%)
GO,34,3.1569173630454963
MEDITERRANEAN_AVENUE,21,1.9498607242339834
COMMUNITY_CHEST_1,22,2.042711234911792
BALTIC_AVENUE,23,2.1355617455896008
INCOME_TAX,20,1.8570102135561743
READING_RAILROAD,27,2.5069637883008355
ORIENTAL_AVENUE,27,2.5069637883008355
CHANCE_1,27,2.5069637883008355
VERMONT_AVENUE,21,1.9498607242339834
CONNECTICUT_AVENUE,25,2.321262766945218
JAIL,69,6.406685236768802
ST_CHARLES_PLACE,23,2.1355617455896008
ELECTRIC_COMPANY,23,2.1355617455896008
STATES_AVENUE,25,2.321262766945218
VIRGINIA_AVENUE,26,2.414113277623027
PENNSYLVANIA_RAILROAD,25,2.321262766945218
ST_JAMES_PLACE,31,2.8783658310120708
COMMUNITY_CHEST_2,33,3.064066852367688
TENNESSEE_AVENUE,26,2.414113277623027
NEW_YORK_AVENUE,25,2.321262766945218
FREE_PARKING,32,2.971216341689879
KENTUCKY_AVENUE,28,2.5998142989786444
CHANCE_2,33,3.064066852367688
INDIANA_AVENUE,30,2.785515320334262
ILLINOIS_AVENUE,26,2.414113277623027
BO_RAILROAD,31,2.8783658310120708
ATLANTIC_AVENUE,23,2.1355617455896008
VENTNOR_AVENUE,27,2.5069637883008355
WATER_WORKS,35,3.2497678737233056
MARVIN_GARDENS,27,2.5069637883008355
GO_TO_JAIL,21,1.9498607242339834
PACIFIC_AVENUE,27,2.5069637883008355
NORTH_CAROLINA_AVENUE,26,2.414113277623027
COMMUNITY_CHEST_3,21,1.9498607242339834
PENNSYLVANIA_AVENUE,29,2.692664809656453
SHORT_LINE,29,2.692664809656453
CHANCE_3,18,1.6713091922005572
PARK_PLACE,15,1.392757660167131
LUXURY_TAX,23,2.1355617455896008
BOARDWALK,23,2.1355617455896008

Trial 6

Space Name,Times Landed On,Percent Landed On (%)
GO,36,3.32409972299169
MEDITERRANEAN_AVENUE,19,1.7543859649122806
COMMUNITY_CHEST_1,23,2.1237303785780237
BALTIC_AVENUE,24,2.21606648199446
INCOME_TAX,19,1.7543859649122806
READING_RAILROAD,18,1.662049861495845
ORIENTAL_AVENUE,25,2.308402585410896
CHANCE_1,23,2.1237303785780237
VERMONT_AVENUE,24,2.21606648199446
CONNECTICUT_AVENUE,17,1.569713758079409
JAIL,86,7.940904893813482
ST_CHARLES_PLACE,25,2.308402585410896
ELECTRIC_COMPANY,19,1.7543859649122806
STATES_AVENUE,23,2.1237303785780237
VIRGINIA_AVENUE,29,2.677746999076639
PENNSYLVANIA_RAILROAD,30,2.7700831024930745
ST_JAMES_PLACE,33,3.0470914127423825
COMMUNITY_CHEST_2,35,3.2317636195752537
TENNESSEE_AVENUE,34,3.139427516158818
NEW_YORK_AVENUE,24,2.21606648199446
FREE_PARKING,24,2.21606648199446
KENTUCKY_AVENUE,26,2.4007386888273317
CHANCE_2,18,1.662049861495845
INDIANA_AVENUE,30,2.7700831024930745
ILLINOIS_AVENUE,31,2.862419205909511
BO_RAILROAD,37,3.4164358264081254
ATLANTIC_AVENUE,40,3.6934441366574333
VENTNOR_AVENUE,16,1.477377654662973
WATER_WORKS,24,2.21606648199446
MARVIN_GARDENS,25,2.308402585410896
GO_TO_JAIL,30,2.7700831024930745
PACIFIC_AVENUE,24,2.21606648199446
NORTH_CAROLINA_AVENUE,29,2.677746999076639
COMMUNITY_CHEST_3,29,2.677746999076639
PENNSYLVANIA_AVENUE,28,2.585410895660203
SHORT_LINE,20,1.8467220683287167
CHANCE_3,29,2.677746999076639
PARK_PLACE,20,1.8467220683287167
LUXURY_TAX,15,1.3850415512465373
BOARDWALK,22,2.0313942751615883

Trial 7

Space Name,Times Landed On,Percent Landed On (%)
GO,31,2.8810408921933086
MEDITERRANEAN_AVENUE,23,2.137546468401487
COMMUNITY_CHEST_1,19,1.7657992565055762
BALTIC_AVENUE,20,1.858736059479554
INCOME_TAX,12,1.1152416356877324
READING_RAILROAD,28,2.6022304832713754
ORIENTAL_AVENUE,28,2.6022304832713754
CHANCE_1,27,2.509293680297398
VERMONT_AVENUE,23,2.137546468401487
CONNECTICUT_AVENUE,27,2.509293680297398
JAIL,60,5.5762081784386615
ST_CHARLES_PLACE,27,2.509293680297398
ELECTRIC_COMPANY,33,3.066914498141264
STATES_AVENUE,19,1.7657992565055762
VIRGINIA_AVENUE,23,2.137546468401487
PENNSYLVANIA_RAILROAD,22,2.0446096654275094
ST_JAMES_PLACE,32,2.973977695167286
COMMUNITY_CHEST_2,25,2.323420074349442
TENNESSEE_AVENUE,32,2.973977695167286
NEW_YORK_AVENUE,37,3.4386617100371746
FREE_PARKING,35,3.2527881040892193
KENTUCKY_AVENUE,31,2.8810408921933086
CHANCE_2,23,2.137546468401487
INDIANA_AVENUE,19,1.7657992565055762
ILLINOIS_AVENUE,35,3.2527881040892193
BO_RAILROAD,31,2.8810408921933086
ATLANTIC_AVENUE,31,2.8810408921933086
VENTNOR_AVENUE,17,1.5799256505576207
WATER_WORKS,39,3.62453531598513
MARVIN_GARDENS,21,1.9516728624535316
GO_TO_JAIL,28,2.6022304832713754
PACIFIC_AVENUE,23,2.137546468401487
NORTH_CAROLINA_AVENUE,18,1.6728624535315983
COMMUNITY_CHEST_3,35,3.2527881040892193
PENNSYLVANIA_AVENUE,30,2.7881040892193307
SHORT_LINE,25,2.323420074349442
CHANCE_3,18,1.6728624535315983
PARK_PLACE,22,2.0446096654275094
LUXURY_TAX,19,1.7657992565055762
BOARDWALK,28,2.6022304832713754

Trial 8

Space Name,Times Landed On,Percent Landed On (%)
GO,32,3.018867924528302
MEDITERRANEAN_AVENUE,20,1.8867924528301887
COMMUNITY_CHEST_1,22,2.0754716981132075
BALTIC_AVENUE,31,2.9245283018867925
INCOME_TAX,18,1.6981132075471699
READING_RAILROAD,30,2.8301886792452833
ORIENTAL_AVENUE,21,1.9811320754716981
CHANCE_1,23,2.1698113207547167
VERMONT_AVENUE,23,2.1698113207547167
CONNECTICUT_AVENUE,26,2.4528301886792456
JAIL,53,5.0
ST_CHARLES_PLACE,27,2.547169811320755
ELECTRIC_COMPANY,22,2.0754716981132075
STATES_AVENUE,24,2.2641509433962264
VIRGINIA_AVENUE,23,2.1698113207547167
PENNSYLVANIA_RAILROAD,29,2.7358490566037736
ST_JAMES_PLACE,22,2.0754716981132075
COMMUNITY_CHEST_2,30,2.8301886792452833
TENNESSEE_AVENUE,32,3.018867924528302
NEW_YORK_AVENUE,33,3.1132075471698113
FREE_PARKING,22,2.0754716981132075
KENTUCKY_AVENUE,30,2.8301886792452833
CHANCE_2,24,2.2641509433962264
INDIANA_AVENUE,32,3.018867924528302
ILLINOIS_AVENUE,26,2.4528301886792456
BO_RAILROAD,22,2.0754716981132075
ATLANTIC_AVENUE,35,3.30188679245283
VENTNOR_AVENUE,34,3.207547169811321
WATER_WORKS,20,1.8867924528301887
MARVIN_GARDENS,25,2.358490566037736
GO_TO_JAIL,19,1.7924528301886793
PACIFIC_AVENUE,32,3.018867924528302
NORTH_CAROLINA_AVENUE,21,1.9811320754716981
COMMUNITY_CHEST_3,21,1.9811320754716981
PENNSYLVANIA_AVENUE,34,3.207547169811321
SHORT_LINE,25,2.358490566037736
CHANCE_3,24,2.2641509433962264
PARK_PLACE,23,2.1698113207547167
LUXURY_TAX,33,3.1132075471698113
BOARDWALK,17,1.6037735849056605

Trial 9

Space Name,Times Landed On,Percent Landed On (%)
GO,39,3.6380597014925375
MEDITERRANEAN_AVENUE,20,1.8656716417910446
COMMUNITY_CHEST_1,22,2.0522388059701493
BALTIC_AVENUE,25,2.332089552238806
INCOME_TAX,17,1.585820895522388
READING_RAILROAD,27,2.5186567164179103
ORIENTAL_AVENUE,24,2.2388059701492535
CHANCE_1,35,3.264925373134328
VERMONT_AVENUE,18,1.6791044776119404
CONNECTICUT_AVENUE,25,2.332089552238806
JAIL,58,5.410447761194029
ST_CHARLES_PLACE,27,2.5186567164179103
ELECTRIC_COMPANY,24,2.2388059701492535
STATES_AVENUE,32,2.9850746268656714
VIRGINIA_AVENUE,22,2.0522388059701493
PENNSYLVANIA_RAILROAD,24,2.2388059701492535
ST_JAMES_PLACE,26,2.425373134328358
COMMUNITY_CHEST_2,30,2.798507462686567
TENNESSEE_AVENUE,28,2.6119402985074625
NEW_YORK_AVENUE,31,2.8917910447761193
FREE_PARKING,25,2.332089552238806
KENTUCKY_AVENUE,25,2.332089552238806
CHANCE_2,24,2.2388059701492535
INDIANA_AVENUE,34,3.171641791044776
ILLINOIS_AVENUE,27,2.5186567164179103
BO_RAILROAD,26,2.425373134328358
ATLANTIC_AVENUE,20,1.8656716417910446
VENTNOR_AVENUE,31,2.8917910447761193
WATER_WORKS,27,2.5186567164179103
MARVIN_GARDENS,38,3.544776119402985
GO_TO_JAIL,18,1.6791044776119404
PACIFIC_AVENUE,32,2.9850746268656714
NORTH_CAROLINA_AVENUE,24,2.2388059701492535
COMMUNITY_CHEST_3,19,1.7723880597014925
PENNSYLVANIA_AVENUE,25,2.332089552238806
SHORT_LINE,26,2.425373134328358
CHANCE_3,27,2.5186567164179103
PARK_PLACE,26,2.425373134328358
LUXURY_TAX,20,1.8656716417910446
BOARDWALK,24,2.2388059701492535

Trial 10

Space Name,Times Landed On,Percent Landed On (%)
GO,30,2.801120448179272
MEDITERRANEAN_AVENUE,25,2.3342670401493932
COMMUNITY_CHEST_1,29,2.707749766573296
BALTIC_AVENUE,16,1.4939309056956116
INCOME_TAX,23,2.1475256769374416
READING_RAILROAD,31,2.8944911297852474
ORIENTAL_AVENUE,22,2.0541549953314657
CHANCE_1,16,1.4939309056956116
VERMONT_AVENUE,25,2.3342670401493932
CONNECTICUT_AVENUE,25,2.3342670401493932
JAIL,53,4.9486461251167135
ST_CHARLES_PLACE,30,2.801120448179272
ELECTRIC_COMPANY,27,2.5210084033613445
STATES_AVENUE,22,2.0541549953314657
VIRGINIA_AVENUE,18,1.680672268907563
PENNSYLVANIA_RAILROAD,33,3.081232492997199
ST_JAMES_PLACE,20,1.8674136321195145
COMMUNITY_CHEST_2,30,2.801120448179272
TENNESSEE_AVENUE,34,3.1746031746031744
NEW_YORK_AVENUE,35,3.2679738562091507
FREE_PARKING,31,2.8944911297852474
KENTUCKY_AVENUE,31,2.8944911297852474
CHANCE_2,33,3.081232492997199
INDIANA_AVENUE,25,2.3342670401493932
ILLINOIS_AVENUE,29,2.707749766573296
BO_RAILROAD,34,3.1746031746031744
ATLANTIC_AVENUE,24,2.2408963585434174
VENTNOR_AVENUE,23,2.1475256769374416
WATER_WORKS,34,3.1746031746031744
MARVIN_GARDENS,18,1.680672268907563
GO_TO_JAIL,22,2.0541549953314657
PACIFIC_AVENUE,20,1.8674136321195145
NORTH_CAROLINA_AVENUE,31,2.8944911297852474
COMMUNITY_CHEST_3,39,3.6414565826330536
PENNSYLVANIA_AVENUE,22,2.0541549953314657
SHORT_LINE,23,2.1475256769374416
CHANCE_3,20,1.8674136321195145
PARK_PLACE,22,2.0541549953314657
LUXURY_TAX,19,1.7740429505135387
BOARDWALK,27,2.5210084033613445

